"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","WEALTHQUINTILE (CODE)","WEALTHQUINTILE (DISPLAY)","WEALTHQUINTILE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ2","Q2","","13.9 [11.9-16.1]","13.87177","11.91565","16.09034","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ4","Q4","","22.7 [19.8-25.9]","22.70608","19.82374","25.87227","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ALB","Albania","","WQ5","Q5 (Richest)","","33.9 [29.2-39.0]","33.94769","29.21915","39.01959","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ALB","Albania","","WQ2","Q2","","55.0 [48.1-61.7]","55.00101","48.06445","61.74842","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ALB","Albania","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ3","Q3","","10.6 [8.5-13.2]","10.62911","8.50282","13.21034","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ5","Q5 (Richest)","","14.2 [11.0-18.1]","14.18353","10.97729","18.13546","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ2","Q2","","66.8 [62.2-71.1]","66.79806","62.24307","71.05903","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ2","Q2","","83.1 [78.5-86.9]","83.11560","78.52893","86.88609","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","WQ4","Q4","","85.8 [82.7-88.4]","85.79359","82.73097","88.38930","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ3","Q3","","51.2 [48.1-54.4]","51.24183","48.11661","54.35737","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ5","Q5 (Richest)","","57.2 [54.0-60.4]","57.22525","53.99364","60.39637","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ2","Q2","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ARM","Armenia","","WQ1","Q1 (Poorest)","","15.5 [13.1-18.2]","15.46383","13.09806","18.16758","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ARM","Armenia","","WQ3","Q3","","22.4 [19.3-25.8]","22.38694","19.32635","25.77735","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ARM","Armenia","","WQ2","Q2","","85.1 [82.0-87.7]","85.08812","82.02007","87.71107","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ARM","Armenia","","WQ1","Q1 (Poorest)","","12.4 [10.0-15.3]","12.38501","9.96638","15.29090","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ARM","Armenia","","WQ3","Q3","","17.4 [14.1-21.4]","17.42278","14.06220","21.38661","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ARM","Armenia","","WQ2","Q2","","77.0 [71.6-81.7]","77.02660","71.60071","81.68106","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","EUR","Europe","","ARM","Armenia","","WQ1","Q1 (Poorest)","","21.4 [18.5-24.6]","21.36137","18.45769","24.58411","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","WQ1","Q1 (Poorest)","","11.1 [9.1-13.5]","11.09216","9.06633","13.50344","","",""
