"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_52","PUBLISHED","2011","WPR","CHN","1","1.00000","","",""
"MH_6","PUBLISHED","2011","WPR","CHN","1.53","1.53000","","",""
"WHS3_45","PUBLISHED","2011","","CHN","1144","1144.00000","","",""
"WHS9_93","PUBLISHED","2007","WPR","CHN","6700","6700.00000","","","Figure does not include Hong Kong nor Macao."
"WHS9_93","PUBLISHED","2008","WPR","CHN","7480","7480.00000","","","Figure does not include Hong Kong nor Macao."
"MALARIA001","PUBLISHED","2012","WPR","CHN","14","14.00000","","",""
"MALARIA001","PUBLISHED","2007","WPR","CHN","18","18.00000","","",""
"MALARIA001","PUBLISHED","2008","WPR","CHN","23","23.00000","","",""
"MALARIA001","PUBLISHED","2013","WPR","CHN","23","23.00000","","",""
"WHS3_48","PUBLISHED","2008","WPR","CHN","15 870","15870.00000","","",""
"WHS3_48","PUBLISHED","2004","WPR","CHN","25 483","25483.00000","","",""
"WHS3_48","PUBLISHED","2006","WPR","CHN","33 286","33286.00000","","",""
"WHS9_96","PUBLISHED","2010","WPR","CHN","49.2","49.22600","","",""
"MDG_0000000017","PUBLISHED","2007","WPR","CHN","4.9 [4.7-5.0]","4.90000","4.70000","5.00000",""
"MDG_0000000017","PUBLISHED","2003","WPR","CHN","6.7 [6.1-7.4]","6.70000","6.10000","7.40000",""
"TB_1","PUBLISHED","2002","WPR","CHN","35 [28-46]","35.00000","28.00000","46.00000",""
"TB_1","PUBLISHED","2003","WPR","CHN","48 [39-62]","48.00000","39.00000","62.00000",""
"MDG_0000000020","PUBLISHED","2014","WPR","CHN","69 [59-79]","69.00000","59.00000","79.00000",""
"MDG_0000000020","PUBLISHED","2012","WPR","CHN","76 [65-87]","76.00000","65.00000","87.00000",""
"MDG_0000000020","PUBLISHED","2005","WPR","CHN","92 [74-111]","92.00000","74.00000","111.00000",""
"MDG_0000000001","PUBLISHED","2005","WPR","CHN","20.3 [19.2-21.5]","20.30000","19.20000","21.50000",""
"MDG_0000000001","PUBLISHED","2006","WPR","CHN","18.6 [17.5-19.7]","18.60000","17.50000","19.70000",""
"WHOSIS_000003","PUBLISHED","2015","WPR","CHN","5.5 [4.8-6.3]","5.49417","4.78193","6.28295",""
"MDG_0000000007","PUBLISHED","2007","WPR","CHN","20.0 [18.8-21.3]","20.00000","18.80000","21.30000",""
"MDG_0000000007","PUBLISHED","2008","WPR","CHN","18.4 [17.3-19.6]","18.40000","17.30000","19.60000",""
"CM_01","PUBLISHED","2002","WPR","CHN","511","511.00000","","",""
"CM_03","PUBLISHED","2003","WPR","CHN","276","276.00000","","",""
"CM_01","PUBLISHED","2008","WPR","CHN","308","308.00000","","",""
"CM_03","PUBLISHED","2009","WPR","CHN","159","159.00000","","",""
"CM_01","PUBLISHED","2013","WPR","CHN","216","216.00000","","",""
"CM_01","PUBLISHED","2014","WPR","CHN","198","198.00000","","",""
"WHOSIS_000011","PUBLISHED","2005","WPR","CHN","4.4","4.40000","","",""
"WHS3_51","PUBLISHED","2011","WPR","CHN","1","1.00000","","",""
"WHS9_88","PUBLISHED","2012","WPR","CHN","35.12","35.12000","","",""
"WHS9_88","PUBLISHED","2013","WPR","CHN","37.4","37.40000","","",""
"MDG_0000000026","PUBLISHED","2015","WPR","CHN"," 27 [ 22 -  32]","27.00000","22.00000","32.00000",""
"WHS3_48","PUBLISHED","2009","WPR","CHN","9 287","9287.00000","","",""
"MDG_0000000017","PUBLISHED","2011","WPR","CHN","3.5 [3.4-3.7]","3.50000","3.40000","3.70000",""
"TB_1","PUBLISHED","2009","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"TB_1","PUBLISHED","2011","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"MDG_0000000020","PUBLISHED","2015","WPR","CHN","67 [57-77]","67.00000","57.00000","77.00000",""
"MDG_0000000020","PUBLISHED","2013","WPR","CHN","72 [61-82]","72.00000","61.00000","82.00000",""
"MDG_0000000020","PUBLISHED","2004","WPR","CHN","95 [76-117]","95.00000","76.00000","117.00000",""
"MDG_0000000001","PUBLISHED","2013","WPR","CHN","10.7 [10.0-11.5]","10.70000","10.00000","11.50000",""
"MDG_0000000001","PUBLISHED","2015","WPR","CHN","9.2 [8.2-10.2]","9.20000","8.20000","10.20000",""
"WHOSIS_000003","PUBLISHED","2006","WPR","CHN","12.7 [11.6-13.8]","12.65800","11.55350","13.84360",""
"WHOSIS_000003","PUBLISHED","2008","WPR","CHN","10.2 [9.3-11.2]","10.23380","9.31742","11.17870",""
"CM_02","PUBLISHED","2005","WPR","CHN","332","332.00000","","",""
"CM_03","PUBLISHED","2006","WPR","CHN","211","211.00000","","",""
"CM_03","PUBLISHED","2011","WPR","CHN","133","133.00000","","",""
"CM_01","PUBLISHED","2011","WPR","CHN","251","251.00000","","",""
