id,surveyid,titl,nation,authenty,data_coll_start,data_coll_end,created,changed
7118,,"Demographic and Health Survey 2015",Afghanistan,"Central Statistics Organization (CSO) - Government of Islamic Republic of Afghanistan<BR> Ministry of Public Health (MoPH) - Government of Islamic Republic of Afghanistan",2015,2016,Jul-05-17,Jul-06-17
6606,,"World Bank Group Country Survey 2015",Afghanistan,"Public Opinion Research Group - World Bank Group",2014,2015,Jun-28-16,Jun-28-16
6557,,"Living Conditions Survey 2013-2014",Afghanistan,"Central Statistics Organization (CSO) - Government of the Islamic Republic of Afghanistan",2013,2014,May-03-16,May-03-16
6360,,"Global Financial Inclusion (Global Findex) Database 2014",Afghanistan,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
4224,,"Enterprise Survey 2013",Afghanistan,"[""World Bank""]",2013,2013,Apr-07-14,Apr-07-14
6771,,"Socio-Demographic and Economic Survey in Kabul 2013",Afghanistan,"Central Statistics Organization (CSO) - Government of Islamic Republic of Afghanistan",2013,2013,Jan-18-17,Jan-18-17
5230,,"National Risk and Vulnerability Survey 2011-2012, Living Conditions Survey",Afghanistan,"Central Statistics Organization (CSO) - Government of the Islamic Republic of Afghanistan",2011,2012,Dec-19-14,Jul-07-15
4415,,"World Bank Country Survey 2012",Afghanistan,"[""Public Opinion Research Group - The World Bank Group""]",2012,2012,Apr-07-14,Apr-07-14
4044,,"Multiple Indicator Cluster Survey 2010-2011",Afghanistan,"[""Central Statistics Organization - Government of the Islamic Republic of Afghanistan"","" United Nations Children\u2019s Fund""]",2010,2011,Feb-19-14,Feb-19-14
2647,,"Global Financial Inclusion (Global Findex) Database 2011",Afghanistan,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Dec-20-12,Jul-07-15
1975,,"Mortality Survey 2010",Afghanistan,"Indian Institute for Health Management Research (IIHMR)<BR> Central Statistics Organization (CSO)",2010,2010,Feb-01-12,Jul-06-17
935,,"National Risk and Vulnerability Assessment Survey 2007-2008",Afghanistan,"[""Central Statistics Organisation (CSO)"","" Ministry of Rural Rehabilitation and Development (MRRD)""]",2007,2008,Oct-06-11,Sep-14-13
388,,"Enterprise Survey 2008",Afghanistan,"[""World Bank""]",2008,2008,Sep-29-11,Sep-14-13
389,,"Informal Survey 2008",Afghanistan,"[""World Bank""]",2008,2008,Sep-29-11,Sep-14-13
